Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/с;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях;nominal_rpm;pressure_coefficients;efficiency_coefficients;Num;h ed;D;D1;d;n;L;L1 max;L2;l;b;d1;B;H1;H
V13-284-7.1-4-30-7.190L4;Осевой;ВО 13-284-4/30°-7,1-90L4;90L4;720;4.00 - 5.90;205 - 170;2200;-;-;1400;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-15-7.180A6;Осевой;ВО 13-284-6/15°-7,1-80A6;80A6;720;1.00 - 2.70;95 - 35;750;-;-;910;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-20-7.180A6;Осевой;ВО 13-284-6/20°-7,1-80A6;80A6;720;1.30 - 3.20;105 - 50;750;-;-;910;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-25-7.180A6;Осевой;ВО 13-284-6/25°-7,1-80A6;80A6;720;1.90 - 3.70;115 - 70;750;-;-;910;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-30-7.180A6;Осевой;ВО 13-284-6/30°-7,1-80A6;80A6;720;2.50 - 4.20;120 - 85;750;-;-;910;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-15-7.180A4;Осевой;ВО 13-284-6/15°-7,1-80A4;80A4;720;1.60 - 4.00;215 - 80;1100;-;-;1370;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-20-7.180B4;Осевой;ВО 13-284-6/20°-7,1-80B4;80B4;720;2.00 - 4.90;240 - 120;1500;-;-;1370;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-25-7.190L4;Осевой;ВО 13-284-6/25°-7,1-90L4;90L4;720;3.00 - 5.70;270 - 165;2200;-;-;1400;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-6-30-7.1100S4;Осевой;ВО 13-284-6/30°-7,1-100S4;100S4;720;3.90 - 6.40;285 - 205;3000;-;-;1400;-;-;6;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-8-20-7.180A6;Осевой;ВО 13-284-8/20°-7,1-80A6;80A6;720;1.50 - 3.40;120 - 55;750;-;-;910;-;-;8;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-8-25-7.180A6;Осевой;ВО 13-284-8/25°-7,1-80A6;80A6;720;1.80 - 3.90;135 - 75;750;-;-;910;-;-;8;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-8-30-7.180B6;Осевой;ВО 13-284-8/30°-7,1-80B6;80B6;720;2.60 - 4.40;140 - 90;1100;-;-;910;-;-;8;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-8-20-7.190L4;Осевой;ВО 13-284-8/20°-7,1-90L4;90L4;720;2.30 - 5.20;285 - 135;2200;-;-;1400;-;-;8;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-8-25-7.1100S4;Осевой;ВО 13-284-8/25°-7,1-100S4;100S4;720;2.80 - 6.10;320 - 185;3000;-;-;1400;-;-;8;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-8-30-7.1100S4;Осевой;ВО 13-284-8/30°-7,1-100S4;100S4;720;4.10 - 6.70;330 - 220;3000;-;-;1400;-;-;8;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-10-20-7.180A6;Осевой;ВО 13-284-10/20°-7,1-80A6;80A6;720;1.50 - 3.60;130 - 60;750;-;-;910;-;-;10;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-10-25-7.180A6;Осевой;ВО 13-284-10/25°-7,1-80A6;80A6;720;1.90 - 4.10;150 - 80;750;-;-;910;-;-;10;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-10-30-7.180B6;Осевой;ВО 13-284-10/30°-7,1-80B6;80B6;720;2.70 - 4.50;155 - 95;1100;-;-;910;-;-;10;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
